,Название,Зарплата_мин,Зарплата_макс,Валюта,Ссылка
95,Аналитик по информационной безопасности,40 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/analitik-po-informacionnoj-bezopasnosti-43483897.html
96,Педагог по компьютерному программированию,00,45 000,руб,https://russia.superjob.ru/vacancy/search//vakansii/pedagog-po-kompyuternomu-programmirovaniyu-32302521.html
97,Системный аналитик,0,220 000,руб,https://russia.superjob.ru/vacancy/search//vakansii/sistemnyj-analitik-43224943.html
98,Преподаватель по спецдисциплине (Программирование),80 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/prepodavatel-po-specdiscipline-43763530.html
99,Инженер инфраструктурной безопасности,,,,https://russia.superjob.ru/vacancy/search//vakansii/inzhener-infrastrukturnoj-bezopasnosti-43590940.html
100,DevOps Engineer Middle + / Senior,,,,https://russia.superjob.ru/vacancy/search//vakansii/devops-engineer-middle-43544460.html
101,Middle Java Ingeneer,,,,https://russia.superjob.ru/vacancy/search//vakansii/middle-java-ingeneer-43793304.html
102,Инженер-схемотехник,60 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/inzhener-shemotehnik-38000105.html
103,"Инженер-разработчик, программист",40 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/inzhener-razrabotchik-43483883.html
104,"Преподаватель по спецдисциплине Базы данных, ОС, архитектура",80 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/prepodavatel-po-specdiscipline-bazy-dannyh-43761252.html
105,Системный аналитик Диасофт,,,,https://russia.superjob.ru/vacancy/search//vakansii/sistemnyj-analitik-diasoft-41716669.html
106,Системный администратор,150 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/sistemnyj-administrator-42128365.html
107,"Учитель информатики (университетский лицей 1511, предуниверситария НИЯУ МИФИ)",,,,https://russia.superjob.ru/vacancy/search//vakansii/uchitel-informatiki-36887715.html
108,Junior backend-разработчик,60 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/junior-backend-razrabotchik-43665196.html
109,Ведущий программист C/C++,170 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/veduschij-programmist-c-43456757.html
110,Ведущий инженер (системный администратор),80 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/veduschij-inzhener-40904249.html
111,Преподаватель по дисциплине Поддержка и тестирование программных модулей,,,,https://russia.superjob.ru/vacancy/search//vakansii/prepodavatel-po-discipline-podderzhka-i-testirovanie-programmnyh-modulej-43658866.html
112,Data Engineer,,,,https://russia.superjob.ru/vacancy/search//vakansii/data-engineer-37254530.html
113,Инженер / Ведущий инженер,,,,https://russia.superjob.ru/vacancy/search//vakansii/inzhener-42700982.html
114,Senior Front-End Engineer,300 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/senior-front-end-engineer-43581420.html
115,"DevOps инженер junior, middle",60 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/devops-inzhener-junior-43743141.html
116,Программист-математик,200 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/programmist-matematik-41872154.html
117,Аспирант (моделирование нейронных сетей),80 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/aspirant-43446781.html
118,"Системный администратор, IT-специалист",45 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/sistemnyj-administrator-43657005.html
119,Учитель информатики и робототехники,80 000,,руб,https://russia.superjob.ru/vacancy/search//vakansii/uchitel-informatiki-i-robototehniki-39720503.html
